"","id","original_title","belongs_to_collection","budget","original_language","production_companies","revenue","runtime","famous_count"
"81",169,"Predator 2",TRUE,3.5e+07,"English","The Walt Disney Studios",57120318,108,5
"82",170,"28 Days Later",TRUE,5e+06,"English","Smaller company",82719885,113,3
"83",172,"Star Trek V: The Final Frontier",TRUE,3e+07,"English","Paramount Global",70200000,107,2
"84",174,"Star Trek VI: The Undiscovered Country",TRUE,2.7e+07,"English","Paramount Global",96900000,113,6
"85",176,"Saw",TRUE,1200000,"English","Smaller company",103911669,103,5
"86",177,"The Fisher King",FALSE,2.4e+07,"English","Sony Pictures Entertainment",41895491,137,6
"87",179,"The Interpreter",FALSE,8e+07,"English","NBCUniversal",162944923,128,5
"88",180,"Minority Report",FALSE,1.02e+08,"English","Warner Bros. Entertainment",358372926,145,8
"89",182,"The Good German",FALSE,3.2e+07,"English","Warner Bros. Entertainment",5914908,108,7
"90",183,"The Wizard",FALSE,6e+06,"English","NBCUniversal",14278900,100,4
